site_name,latitude,longitude,coordinate_text,coordinate_system,source_file,page,evidence_snippet,reason
Gua Balang Balang Metti,,,,,data/google-drive-pdfs/Pattuku_BalangMettiCave_Sulawesi.pdf,4,"92 | Identifikasi Rangka Manusia Situs Gua Balang Balang Metti……Fakhri untuk mencari data horisontal, yaitu mengamati kondisi lingkungan situs, termasuk batas -batas geografis yang mendukung eksistensi situs. Ekskavasi dilakukan bertujuan mencari data vertikal dalam tanah, termasuk",repeated_words
Gua Balang Balang Metti,,,,,data/google-drive-pdfs/Pattuku_BalangMettiCave_Sulawesi.pdf,6,94 | Identifikasi Rangka Manusia Situs Gua Balang Balang Metti……Fakhri 50°. Sebagian besar permukaan situs dipenuhi dengan boulder batu gamping berukuran besar dengan permukaan tanah yang kering. Boulder batuan gamping ini kemungkian besar adalah bagian dari dinding batuan gua yang,repeated_words
Gua Balang Balang Metti,,,,,data/google-drive-pdfs/Pattuku_BalangMettiCave_Sulawesi.pdf,8,"96 | Identifikasi Rangka Manusia Situs Gua Balang Balang Metti……Fakhri Adapun ba gian anatomi tubuh rangka yang sangat jelas untuk diidentifkasi sebagai rangka manusia adalah temuan rangka berupa susunan tulang lengan (humerus), tulang pengumpil dan tulang hasta ( radius-ulna) sert",repeated_words
Gua Balang Balang Metti,,,,,data/google-drive-pdfs/Pattuku_BalangMettiCave_Sulawesi.pdf,10,98 | Identifikasi Rangka Manusia Situs Gua Balang Balang Metti……Fakhri Gua Balang Metti merupakan penguburan primer dengan bentuk penguburan langsung yang banyak ditemukan di wilayah Asia Tenggara pada masa yang tidak lebih tua dari 3000 atau 3500 tahun yang lampau. Bila dilihat da,repeated_words
Gua Balang Balang Metti,,,,,data/google-drive-pdfs/Pattuku_BalangMettiCave_Sulawesi.pdf,12,"100 | Identifikasi Rangka Manusia Situs Gua Balang Balang Metti……Fakhri Lampiran Peta Situs Balang Metti dan situs lain yang ditemukan tersebar di Kawasan Bontocani, Kabupaten Bone, Sulawesi Selatan (Sumber: Peta SRTM, Bakosurtanal, dimodifikasi oleh Suryatman, Tahun 2016)",repeated_words
Gua Macan Sedayu Grobogan Grobogan,,,,,data/google-drive-pdfs/RembangKarstCaves.pdf,10,gan 4 Gua Joko Kendat Sumbersari Kayen Pati 5 Gua Lawa Watusong Sedayu Grobogan Grobogan 6 Gua Lawa Anggilanggil Dokoro Wirosari Grobogan 7 Gua Lawa Kedu Kedumulyo Sukolilo Pati 8 Gua Lawa Sering Sumbersari Kayen Pati 9 Gua Macan Sedayu Grobogan Grobogan 10 Gua Pawon Guo Kedungwinong Sukolilo Pati 11 Gua Pawon Salangamer Pakem Sukolilo Pati 12 Gua Pertapan Karangasem Wirosari Grobogan 13 Gua Plemburan Kedumulyo Sukolilo Pati 14 Gua Rodipo Prawata Sukolilo Pati 15 Gua Su,repeated_words
Gua Celeng Wegil Wegil,,,,,data/google-drive-pdfs/RembangKarstCaves.pdf,10,"2021 Tabel 8. Objek amatan yang tidak memenuhi kriteria kandungan data arkeologis. No Nama Gua Letak Administratif Keterangan 1 Gua Celeng Selokaton Kedungwinong, Sukolilo, Pati Data tidak ditemukan karena penambangan 2 Gua Celeng Wegil Wegil, Sukolilo, Pati Data tidak ditemukan karena penambangan 3 Gua Gajah Kemadohbatur, Tawangharjo, Grobogan Data tidak ditemukan karena pemanfaatan pariwisata 4 Gua Pacul Kedungwinong, Sukolilo, Pati Data tidak ditemukan 5",repeated_words
Leang Pattae The Leang Pattae,,,,,data/google-drive-pdfs/SSulawesiHolocene_Bulbeck.pdf,9,"sociated with three glazed monochrome sherds (AD thirteenth to fourteenth centuries?), a rusted iron fragment and two cross-mending, ornate potsherds, as well as the deposit's disturbance (Bulbeck et al. 2000: 84). 2.2. Leang Pattae The Leang Pattae sequence, as described by Van Heekeren (1972: 116-118), echoes Ulu Leang 1. Potsherds were restricted to the sub-surface deposit, while Maros points continued slightly deeper but not below the upper layer. Backed blades",repeated_words
Leang Kalidong Leang Kalidong,,,,,data/google-drive-pdfs/SSulawesi_EnrekangSites.pdf,2,"tifikasi, diklasifikasi, dan dikomparasi untuk menghasilkan kesimpulan. Kesimpulan yang dihasilkan merupakan jawaban dari permasalahan penelitian yang diajukan. HASIL DAN PEMBAHASAN Diversitas Budaya Prasejarah Enrekang Leang Kalidong Leang Kalidong terletak di pinggir tebing- tebing batu. Secara keseluruhan di situs ini terdapat dua tebing batu yang mempunyai temuan berupa fragmen tulang dan tengkorak",repeated_words
Gua Babi Situs Gua Babi,,,,,data/google-drive-pdfs/SaHuynh-KalanayPottery.pdf,25,"48 Universitas Indonesia dibingkai, serta tera tali dengan ga ris-garis paralel. Pengerjaan hiasan menggunakan tatap pelandas menghasilkan mo tif tekan berupa hiasan kisi-kisi (Arifin, 2006:155). 2.3.3.2. Gua Babi Situs Gua Babi terletak di Desa Randu, Kecamatan Muara Uya, Kabupaten Tabalong, Kalimantan Selatan. Situs berlokasi di wilayah pegunungan tepatnya di kaki sebelah barat Pegunungan Meratus. Si tus ini pertama kali di ekskavasi pada tah",repeated_words
Gua Hatu Patola Hatu Patola,,,,,data/google-drive-pdfs/Seram2012.pdf,24,ga Waensela 9651773 553003 1599 15 5 Gua Empat Waensela 9651544 553132 1697 15 5 Gua Lima wai huhu 9650469 553603 1969 15 5 Gua Labah-labah wai huhu 9650409 553584 1989 15 21 -8 Gua top Binaiya 9649090 551555 2796 30 12 Gua Hatu Patola Hatu Patola 9684232 453009 248 50 5 Gua Toke Hatu Kasieh 9683982 449306 90 30 80 -30 Gua Puhon Hatu Kasieh 9684038 449143 62 30 10 Gua Tana Hatu Kasieh 9684045 449100 63 30 250 -10 Gua Sapalewa (spring) Hatu Toisiwa 9677900 440066,repeated_words
Leang Leang,,,,,data/google-drive-pdfs/SongKeplek_Java_Holocene.pdf,2,"nous allons tenter d'en présenter les principaux jalons. Le Pleistocene supérieur final (30 000-10 000 ans B.P.) La grotte de Leang Burung 2 (fig. 1), située dans la vallée de Maros au Nord de Ujung Pandang (district de Leang Leang) à Sulawesi sud-ouest, est pour l'heure le seul site attestant de traces d'occupations humaines pour la période du Pleistocene supérieur final dans l'archipel. Il demeure pour cette époque le site le plus fiable d'un po",repeated_words
Ceruk Lakan Taghu Ceruk La Podo Gua,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,5,"he Muna Island karsts, including Kosasih (1987, 1989, 1995) and BCPBM (2015). Gua Metanduno Gua KaboriCeruk Ida Malangi Ceruk Pinda La Kolumbu Nsarofa 1Nsarofa 2 Lakuba Tangga Ara Gua Toko Gua Wa Bose Lasobo Gua Pominsa Ceruk Lakan Taghu Ceruk La Podo Gua Sugi Patani 0 1 km Rock art sites described in this paper Other nearby rock art sites Roads Figure 6.2: Rock art sites in the study area. Source: Adapted from Oktaviana (2016). 1 See Marschall and Wäﬂer (2012) for site",repeated_words
Gua Metanduno Gua Metanduno,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,8,"6. Hand stencils and boats in the painted rock art of the karst region of Muna Island, Southeast Sulawesi 67 terra australis 48 Gua Metanduno Gua Metanduno is a prime tourist destination on Muna Island and is easily reached along the tourist route to the site. Its geographic coordinates are 4°53’54.5”S and 122°39’33.7”E. The name of the site in the Muna language means to c",repeated_words
Gua Kabori Gua Kabori,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,11,"70 The Archaeology of Sulawesi terra australis 48 Gua Kabori Gua Kabori is located 25 m southeast from the Gua Metanduno site. The cave is dome-shaped with ledges along the wall. Its mouth faces west, and there is an ongoing process of stalactite and stalagmite formation. The term kabori tr",repeated_words
Ceruk Lakan Taghu Ceruk Lakan Taghu,,,,,data/google-drive-pdfs/StencilsBoatsMunaIsland.pdf,11,"d stencil at around 3 m height on the right side of the cave wall, with three fingers remaining (Figure 6.12). Figure 6.12: Three-fingered hand stencil at right wall, Gua Kabori. Source: Adhi Agus Oktaviana. A new site: Ceruk Lakan Taghu Ceruk Lakan Taghu (Figure 6.13) is located in the same part of the Muna karsts as Ceruk Sugi Patani and Gua Pominsa (Figure 6.2), at 4°54’35.9”S 122°40’12.6”E. This rockshelter was discovered by the author in 2015 after faded paintings w",repeated_words
